,data,flag
0,"At a glance, you may not be able to see two substances, copper sulphate andnaphthalene but, you have a mixture of the two. A blend of two or more puresubstances is called a mixture and individual substances that form the mixture areknown as components.",grade11
1,"Take about 500 ml of water into a beaker. Add about10g of clayey soil to it, stir well and allow to stand still forabout one minute. Then filter the muddy coloured waterinto another beaker using a piece of cloth. Allow to standstill for about an hour and see whether the muddy colouris uniformly distributed throughout the solution. See if theclearness of the solution is similar from top to bottom",grade11
2,"LIVING TISSUESPHOTOSYNTHESISMIXTURESWAVES AND THEIR APPLICATIONSGEOMETRICAL OPTICSBIOLOGICAL PROCESSES IN HUMAN BODYACIDS, BASES AND SALTS",grade11
3,HEAT CHANGES ASSOCIATED WITH CHEMICAL REACTIONSHEATPOWER AND ENERGY OF ELECTRIC APPLIANCESELECTRONICSELECTROCHEMISTRYELECTROMAGNETISM AND ELECTROMAGNETIC INDUCTIONHYDROCARBONS AND THEIR DERIVATIVESBIOSPHERE,grade11
4,"The mixtures in which the components can be distinguished from one anotherand their are known as a heterogeneous mixtures. The physical properties of themixture such as colour, transparency and density are different from place to place,in a heterogeneous solution.",grade11
5,"It was mentioned that a homogenous mixture is also called a solution. A solutionis composed of a solvent and one or more solutes. Of the components mixed toform the solution, the component present in excess is the solvent. The rest of thecomponents are solutes. ",grade11
6,"According to the observations of the above activities, it is confirmed that thefollowing factors affect solubility.1. Temperature2. Nature of the solute3. Nature of the solvent",grade11
7,1. Polar organic solutes/solvents2. Non - polar organic solutes/ solvents3. Polar inorganic solutes/solvents4. Non - polar inorganic solutes/solvents,grade11
8,"Do gases really dissolve in water? Recall the following experiences to answer this.² As soon as a bottle of soda water or a fizzy drink is opened, gas bubbles evolvefrom the solution.² When a beaker of water is heated, gas bubbles can be seen on the walls of thebeaker.",grade11
9,) What is the mole fraction of sodium hydroxide (NaOH) in a solution made bydissolving 40 g of sodium hydroxide in 180 g of water?,grade11
10,"This is used to express the composition of a homogeneous mixture (solution). 'Mole'is the international unit for the amount of matter. Here, the composition is given interms of the amount of moles of solute contained in unit volume of a solution. Thecomposition expressed in this way is called the concentration (C). In chemistry,very often concentration of a solution is expressed in terms of the amount of molesof solute contained in a cubic decimetre of the solution",grade11
11,"During chemical experiments, standard solutions are required to be prepared.A standard solution is a solution in which the concentratrion is very accuratelyknown. The relationships among the following units are very important in thepreparation of standard solutions.",grade11
12,"At a glance, you may not be able to see two substances, copper sulphate andnaphthalene but, you have a mixture of the two. A blend of two or more puresubstances is called a mixture and individual substances that form the mixture areknown as components.",grade11
13,"Take about 500 ml of water into a beaker. Add about10g of clayey soil to it, stir well and allow to stand still forabout one minute. Then filter the muddy coloured waterinto another beaker using a piece of cloth. Allow to standstill for about an hour and see whether the muddy colouris uniformly distributed throughout the solution. See if theclearness of the solution is similar from top to bottom",grade11
14,"LIVING TISSUESPHOTOSYNTHESISMIXTURESWAVES AND THEIR APPLICATIONSGEOMETRICAL OPTICSBIOLOGICAL PROCESSES IN HUMAN BODYACIDS, BASES AND SALTS",grade11
15,HEAT CHANGES ASSOCIATED WITH CHEMICAL REACTIONSHEATPOWER AND ENERGY OF ELECTRIC APPLIANCESELECTRONICSELECTROCHEMISTRYELECTROMAGNETISM AND ELECTROMAGNETIC INDUCTIONHYDROCARBONS AND THEIR DERIVATIVESBIOSPHERE,grade11
16,"The mixtures in which the components can be distinguished from one anotherand their are known as a heterogeneous mixtures. The physical properties of themixture such as colour, transparency and density are different from place to place,in a heterogeneous solution.",grade11
17,"It was mentioned that a homogenous mixture is also called a solution. A solutionis composed of a solvent and one or more solutes. Of the components mixed toform the solution, the component present in excess is the solvent. The rest of thecomponents are solutes. ",grade11
18,"According to the observations of the above activities, it is confirmed that thefollowing factors affect solubility.1. Temperature2. Nature of the solute3. Nature of the solvent",grade11
19,1. Polar organic solutes/solvents2. Non - polar organic solutes/ solvents3. Polar inorganic solutes/solvents4. Non - polar inorganic solutes/solvents,grade11
20,"Do gases really dissolve in water? Recall the following experiences to answer this.² As soon as a bottle of soda water or a fizzy drink is opened, gas bubbles evolvefrom the solution.² When a beaker of water is heated, gas bubbles can be seen on the walls of thebeaker.",grade11
21,) What is the mole fraction of sodium hydroxide (NaOH) in a solution made bydissolving 40 g of sodium hydroxide in 180 g of water?,grade11
